"treatment"	"species"	"richness"	"year"	"Omega"	"theta"	"feasibility"	"differential"	"overlap"	"coex_rate"	"indirect_effects"
"115"	"control"	"Hp_Cb_Ga"	3	2020	0.122908302660964	47.0757156966633	0	-0.056	0.008	0.333333333333333	-0.333333333333333
"116"	"control"	"Hp_To_Dc"	3	2020	0.177334406720201	9.03481472655071	1	-0.054	0.163	1	0
"117"	"control"	"Hp_To_Sp"	3	2020	0.0022636020293751	12.3482055026517	0	-0.005	0	0.333333333333333	-0.333333333333333
"118"	"control"	"Hp_To_Pg"	3	2020	0.0481684395342461	22.3109096395413	0	-0.037	0.029	0.333333333333333	-0.333333333333333
"119"	"control"	"Hp_To_Ra"	3	2020	0.853093458066564	43.7965004829739	0	0.15	0	0.333333333333333	-0.333333333333333
"120"	"control"	"Hp_To_Pm"	3	2020	0.0447518975530336	7.42892892291771	1	-0.022	0.042	1	0
"121"	"control"	"Hp_To_Ga"	3	2020	0.251517006052167	13.3496238992832	1	0.198	0.014	0.666666666666667	0.333333333333333
"122"	"control"	"Hp_Dc_Sp"	3	2020	0.0467203000907474	10.6956554037026	0	0.04	0.011	0.333333333333333	-0.333333333333333
"123"	"control"	"Hp_Dc_Pg"	3	2020	0.0266212499120219	32.7922041023087	0	-0.099	0	0.666666666666667	-0.666666666666667
"124"	"control"	"Hp_Dc_Ra"	3	2020	0.634807630013273	40.5408783366499	0	0.167	0.037	0.333333333333333	-0.333333333333333
"125"	"control"	"Hp_Dc_Pm"	3	2020	0.0686271220176937	14.3916643240654	0	-0.00799999999999999	0.054	1	-1
"126"	"control"	"Hp_Dc_Ga"	3	2020	0.250630155023821	20.713919990939	0	0.25	0	0.666666666666667	-0.666666666666667
"127"	"control"	"Hp_Sp_Pg"	3	2020	0.0368216477441838	17.146187770341	0	0.025	0.006	0	0
"128"	"control"	"Hp_Sp_Ra"	3	2020	0.312664143335785	45.3404207891216	0	0.089	0.004	0	0
"129"	"control"	"Hp_Sp_Pm"	3	2020	0.00894112362356001	12.601769983057	0	0.009	0.002	0.333333333333333	-0.333333333333333
"130"	"control"	"Hp_Sp_Ga"	3	2020	0.0622569600678739	17.8938768613893	0	0.032	0.001	0.333333333333333	-0.333333333333333
"131"	"control"	"Hp_Pg_Ra"	3	2020	0.219915119748655	46.0192242184626	0	-0.007	0.036	0	0
"132"	"control"	"Hp_Pg_Pm"	3	2020	0.0210188825857931	19.4492975770361	0	-0.012	0.017	0.333333333333333	-0.333333333333333
"133"	"control"	"Hp_Pg_Ga"	3	2020	0.0907226876186156	25.372370390397	0	-0.032	0.053	0.333333333333333	-0.333333333333333
"134"	"control"	"Hp_Ra_Pm"	3	2020	0.37413831791677	31.160951658144	0	0.119	0.002	0.333333333333333	-0.333333333333333
"135"	"control"	"Hp_Ra_Ga"	3	2020	0.178119177020187	19.3318403479796	0	-0.084	0.1	0.666666666666667	-0.666666666666667
"136"	"control"	"Hp_Pm_Ga"	3	2020	0.0880564651405229	12.6315743646607	1	0.043	0.009	0.666666666666667	0.333333333333333
"137"	"control"	"Be_Ao_Dg"	3	2020	0.0722477232754808	11.6083963611624	0	0.062	0.002	0.666666666666667	-0.666666666666667
"138"	"control"	"Be_Ao_Fr"	3	2020	0.079088099144594	17.2414826774559	0	0.08	0	0	0
"139"	"control"	"Be_Ao_Hl"	3	2020	0.00132476091776537	15.9433984341226	0	-0.001	0	0.666666666666667	-0.666666666666667
"140"	"control"	"Be_Ao_Lp"	3	2020	0.00688837822175447	34.4661017101779	0	0	0	0.666666666666667	-0.666666666666667
"141"	"control"	"Be_Ao_Pt"	3	2020	0.110187814258115	23.8572809431432	0	0.082	0	0.666666666666667	-0.666666666666667
"142"	"control"	"Be_Ao_Am"	3	2020	0.00441615026790166	13.0193385325663	0	0	0	0.666666666666667	-0.666666666666667
"143"	"control"	"Be_Ao_Cj"	3	2020	0.0469637990494568	4.7210767980096	1	0.043	0.001	0.333333333333333	0.666666666666667
"144"	"control"	"Be_Ao_Cb"	3	2020	0.0248658554395557	21.2893002722593	0	0.021	0	0	0
"145"	"control"	"Be_Ao_To"	3	2020	0.229406014944506	15.8817194239814	1	0.198	0	0.333333333333333	0.666666666666667
"146"	"control"	"Be_Ao_Dc"	3	2020	0.0768546302366649	20.778489790948	0	0.061	0	0.666666666666667	-0.666666666666667
"147"	"control"	"Be_Ao_Sp"	3	2020	0.0429032961784003	10.2419131108264	1	0.034	0	0.666666666666667	0.333333333333333
"148"	"control"	"Be_Ao_Pg"	3	2020	0.248251163185832	11.9312861404293	1	0.24	0.001	0.666666666666667	0.333333333333333
"149"	"control"	"Be_Ao_Ra"	3	2020	0.353617367421442	50.1546353457095	0	0.068	0	0.333333333333333	-0.333333333333333
"150"	"control"	"Be_Ao_Pm"	3	2020	0.00102837275722944	21.7205544856353	0	-0.001	0	0.666666666666667	-0.666666666666667
"151"	"control"	"Be_Ao_Ga"	3	2020	0.120364196744223	14.9219086485652	1	0.128	0	0.333333333333333	0.666666666666667
"152"	"control"	"Be_Dg_Fr"	3	2020	0.0560336083180671	10.0368556718325	0	0.035	0.004	0.333333333333333	-0.333333333333333
"153"	"control"	"Be_Dg_Hl"	3	2020	0.19492317695465	5.41782881125813	1	0.182	0.007	0.666666666666667	0.333333333333333
"154"	"control"	"Be_Dg_Lp"	3	2020	0.34926397334895	23.0699065614848	1	-0.092	0.275	1	0
"155"	"control"	"Be_Dg_Pt"	3	2020	0.327180336027541	7.67554288807281	1	0.095	0.1	1	0
"156"	"control"	"Be_Dg_Am"	3	2020	0.168741746987814	9.04691346535881	1	0.057	0.076	1	0
"157"	"control"	"Be_Dg_Cj"	3	2020	0.00738815531298276	12.3603275559566	0	0.007	0	0.333333333333333	-0.333333333333333
"158"	"control"	"Be_Dg_Cb"	3	2020	0.0193833911343572	14.3065015196982	0	0	0.01	0.333333333333333	-0.333333333333333
"159"	"control"	"Be_Dg_To"	3	2020	0.11851273069011	31.1528805964798	0	-0.052	0.03	0.666666666666667	-0.666666666666667
"160"	"control"	"Be_Dg_Dc"	3	2020	0.40050361607847	8.04630730464634	1	0.231	0.087	0.666666666666667	0.333333333333333
"161"	"control"	"Be_Dg_Sp"	3	2020	0.121404679606118	12.6840515211148	1	-0.00800000000000001	0.138	1	0
"162"	"control"	"Be_Dg_Pg"	3	2020	0.00473377699314182	21.5775983530891	0	-0.008	0	0.666666666666667	-0.666666666666667
"163"	"control"	"Be_Dg_Ra"	3	2020	0.440086499104681	29.0653327109478	0	0.103	0.101	0.666666666666667	-0.666666666666667
"164"	"control"	"Be_Dg_Pm"	3	2020	0.157933807432878	5.89651926811379	1	0.147	0.002	0.666666666666667	0.333333333333333
"165"	"control"	"Be_Dg_Ga"	3	2020	0.0510581619827538	24.2901042705797	0	0.051	0	0.666666666666667	-0.666666666666667
"166"	"control"	"Be_Fr_Hl"	3	2020	0.392952315923854	33.3089142833373	0	0.023	0.259	0.666666666666667	-0.666666666666667
"167"	"control"	"Be_Fr_Lp"	3	2020	0.247759384065378	16.0187132411231	0	0.163	0.081	0.666666666666667	-0.666666666666667
"168"	"control"	"Be_Fr_Pt"	3	2020	0.643747562623691	23.4628326330953	0	0.072	0.283	0.666666666666667	-0.666666666666667
"169"	"control"	"Be_Fr_Am"	3	2020	0.100874541526457	14.9163700075949	0	0.021	0.083	0.666666666666667	-0.666666666666667
"170"	"control"	"Be_Fr_Cj"	3	2020	0.0156121795771475	17.670971602252	0	0.016	0	0	0
"171"	"control"	"Be_Fr_Cb"	3	2020	0.0192939792408828	30.6267313254869	0	-0.003	0	0	0
"172"	"control"	"Be_Fr_To"	3	2020	0.346830055582653	26.251402257704	1	0.233	0.036	0.333333333333333	0.666666666666667
